Entity,Code,Year,"Outdoor ozone pollution (deaths per 100,000)","Household pollution (deaths per 100,000)","Outdoor particulate pollution (deaths per 100,000)"
Afghanistan,AFG,12/31/1990,5.616442031,250.3629097,46.44658944
Afghanistan,AFG,12/31/1991,5.603960116,242.575125,46.03384057
Afghanistan,AFG,12/31/1992,5.611822065,232.0438779,44.24376603
Afghanistan,AFG,12/31/1993,5.655266063,231.6481335,44.44014814
Afghanistan,AFG,12/31/1994,5.718922221,238.8371768,45.59432841
Afghanistan,AFG,12/31/1995,5.739173782,239.9065987,45.36714113
Afghanistan,AFG,12/31/1996,5.747049995,238.5120505,45.38359108
Afghanistan,AFG,12/31/1997,5.755508661,238.1135199,45.58506218
Afghanistan,AFG,12/31/1998,5.75854458,238.6801502,44.83748989
Afghanistan,AFG,12/31/1999,5.793572911,238.5392941,45.32550114
Afghanistan,AFG,12/31/2000,5.844865492,235.9487737,45.03400426
Afghanistan,AFG,12/31/2001,5.921335306,233.7170407,45.31938333
Afghanistan,AFG,12/31/2002,5.931653631,225.0864304,45.37351074
Afghanistan,AFG,12/31/2003,5.924058422,221.8693563,46.53360142
Afghanistan,AFG,12/31/2004,5.922088524,219.96916,46.23059194
Afghanistan,AFG,12/31/2005,5.903108197,211.4755232,46.13937079
Afghanistan,AFG,12/31/2006,5.911068319,205.9212386,46.31941633
Afghanistan,AFG,12/31/2007,5.909290961,196.5405902,47.01208605
Afghanistan,AFG,12/31/2008,5.893699182,187.794193,46.73689634
Afghanistan,AFG,12/31/2009,5.866966391,178.9304199,46.83337166
Afghanistan,AFG,12/31/2010,5.83713869,171.7881628,46.73326875
Afghanistan,AFG,12/31/2011,5.801864743,163.0263057,48.29018831
Afghanistan,AFG,12/31/2012,5.783817256,156.2018668,48.14822551
Afghanistan,AFG,12/31/2013,5.774365235,151.4522242,46.37609039
Afghanistan,AFG,12/31/2014,5.768401179,147.1349129,45.19389823
Afghanistan,AFG,12/31/2015,5.74608172,141.3542376,47.33453691
Afghanistan,AFG,12/31/2016,5.779466385,138.6635433,44.82619553
Afghanistan,AFG,12/31/2017,5.810624892,134.9937531,45.73766239
Albania,ALB,12/31/2018,4.174149927,56.54026788,23.48301927
Albania,ALB,12/31/2019,4.190511674,58.09981076,24.26308036
Albania,ALB,12/31/2020,3.975273714,56.34285561,23.27497014
Albania,ALB,12/31/2021,3.71149915,53.66371,22.21174507
Albania,ALB,12/31/2022,3.422556449,49.80347178,21.1096963
Albania,ALB,12/31/2023,3.330374073,48.63388617,21.10202565
Albania,ALB,12/31/2024,3.378229915,48.70885814,21.97476416
Albania,ALB,12/31/2025,3.318026343,47.1485231,22.39841286
Albania,ALB,12/31/2026,3.172331128,44.04100851,22.19133684
Albania,ALB,12/31/2027,3.029409015,41.98694541,22.47926513
Albania,ALB,12/31/2028,2.887764584,40.59188455,22.6152449
Albania,ALB,12/31/2029,2.691947489,37.64061681,22.32258625
Albania,ALB,12/31/2030,2.570634881,36.19758327,22.8092342
Albania,ALB,12/31/2031,2.483838358,35.27001758,23.27845876
Albania,ALB,12/31/2032,2.385973682,33.65484508,23.58744164
Albania,ALB,12/31/2033,2.232689432,31.70394918,23.24032746
Albania,ALB,12/31/2034,2.086125858,29.28574609,22.94856366
Albania,ALB,12/31/2035,1.921080693,26.20356377,22.12168544
Albania,ALB,12/31/2036,1.841346425,24.72081851,22.35048763
Albania,ALB,12/31/2037,1.766481875,23.25573036,22.04170805
Albania,ALB,12/31/2038,1.74086669,22.13797544,21.97991106
Albania,ALB,12/31/2039,1.752762604,21.00258164,23.19044536
Albania,ALB,12/31/2040,1.762253506,20.78955825,21.7992158
Albania,ALB,12/31/2041,1.77972103,20.34445627,21.57431702
Albania,ALB,12/31/2042,1.8044725,20.00195091,21.17052831
Albania,ALB,12/31/2043,1.806164979,19.16311568,21.78608861
